,Start,End
0,2020-11-19 14:32:58.777397,2020-11-19 14:33:01.656764
1,2020-11-19 14:33:01.691992,2020-11-19 14:33:01.721197
2,2020-11-19 14:33:13.017552,2020-11-19 14:33:20.125219
3,2020-11-19 14:33:20.377443,2020-11-19 14:33:21.383427
4,2020-11-19 14:33:22.523208,2020-11-19 14:33:24.140092
5,2020-11-19 14:33:24.168295,2020-11-19 14:33:24.200755
6,2020-11-19 14:33:27.720431,2020-11-19 14:33:27.786299
7,2020-11-19 14:33:27.820427,2020-11-19 14:33:27.850139
8,2020-11-19 14:33:27.897676,2020-11-19 14:33:27.928771
9,2020-11-19 14:33:27.992514,2020-11-19 14:33:38.408907
10,2020-11-19 14:33:38.616504,2020-11-19 14:33:39.455396
